Skip Frames,Confidence Config,Media,Factor_escala,Count In Real,Count Out Real,Count In Estimated,Count Out Estimated,Error In Abs,Error In Rel,Error Out Abs,Error Out Rel,Error Global
15,0.3,95,0.010526315789473684,8,12,5,9,3,0.375,3,0.25,0.3
15,0.3,115,0.008695652173913044,8,12,4,11,4,0.5,1,0.08333333333333333,0.25
15,0.3,135,0.007407407407407408,8,12,5,11,3,0.375,1,0.08333333333333333,0.2
15,0.3,185,0.005405405405405406,8,12,6,9,2,0.25,3,0.25,0.25
15,0.4,45,0.022222222222222223,8,12,3,6,5,0.625,6,0.5,0.55
15,0.4,65,0.015384615384615385,8,12,5,8,3,0.375,4,0.3333333333333333,0.35
15,0.4,85,0.011764705882352941,8,12,4,9,4,0.5,3,0.25,0.35
15,0.4,95,0.010526315789473684,8,12,3,10,5,0.625,2,0.16666666666666666,0.35
15,0.4,115,0.008695652173913044,8,12,4,11,4,0.5,1,0.08333333333333333,0.25
15,0.4,135,0.007407407407407408,8,12,6,9,2,0.25,3,0.25,0.25
15,0.4,185,0.005405405405405406,8,12,3,11,5,0.625,1,0.08333333333333333,0.3
15,0.5,45,0.022222222222222223,8,12,3,6,5,0.625,6,0.5,0.55
15,0.5,65,0.015384615384615385,8,12,4,8,4,0.5,4,0.3333333333333333,0.4
15,0.5,85,0.011764705882352941,8,12,3,8,5,0.625,4,0.3333333333333333,0.45
15,0.5,95,0.010526315789473684,8,12,3,13,5,0.625,1,0.08333333333333333,0.2
15,0.5,115,0.008695652173913044,8,12,4,13,4,0.5,1,0.08333333333333333,0.15
15,0.5,135,0.007407407407407408,8,12,5,9,3,0.375,3,0.25,0.3
15,0.5,185,0.005405405405405406,8,12,2,10,6,0.75,2,0.16666666666666666,0.4
20,0.1,45,0.022222222222222223,8,12,4,5,4,0.5,7,0.5833333333333334,0.55
20,0.1,65,0.015384615384615385,8,12,4,9,4,0.5,3,0.25,0.35
20,0.1,85,0.011764705882352941,8,12,5,11,3,0.375,1,0.08333333333333333,0.2
20,0.1,95,0.010526315789473684,8,12,7,9,1,0.125,3,0.25,0.2
20,0.1,115,0.008695652173913044,8,12,6,9,2,0.25,3,0.25,0.25
20,0.1,135,0.007407407407407408,8,12,5,12,3,0.375,0,0.0,0.15
20,0.1,185,0.005405405405405406,8,12,5,11,3,0.375,1,0.08333333333333333,0.2
20,0.2,45,0.022222222222222223,8,12,4,5,4,0.5,7,0.5833333333333334,0.55
20,0.2,65,0.015384615384615385,8,12,4,9,4,0.5,3,0.25,0.35
20,0.2,85,0.011764705882352941,8,12,5,11,3,0.375,1,0.08333333333333333,0.2
20,0.2,95,0.010526315789473684,8,12,7,9,1,0.125,3,0.25,0.2
20,0.2,115,0.008695652173913044,8,12,6,9,2,0.25,3,0.25,0.25
20,0.2,135,0.007407407407407408,8,12,5,12,3,0.375,0,0.0,0.15
20,0.2,185,0.005405405405405406,8,12,5,11,3,0.375,1,0.08333333333333333,0.2
20,0.3,45,0.022222222222222223,8,12,3,6,5,0.625,6,0.5,0.55
20,0.3,65,0.015384615384615385,8,12,5,7,3,0.375,5,0.4166666666666667,0.4
20,0.3,85,0.011764705882352941,8,12,5,11,3,0.375,1,0.08333333333333333,0.2
