Skip Frames;Confidence Config;Media;Factor_escala;Count In Real;Count Out Real;Count In Estimated;Count Out Estimated;Error In Abs;Error In Rel;Error Out Abs;Error Out Rel
5;0.7;135;0.007407407407407408;8;12;2;7;6;0.75;5;0.4166666666666667
5;0.7;155;0.0064516129032258064;8;12;3;7;5;0.625;5;0.4166666666666667
5;0.7;175;0.005714285714285714;8;12;3;6;5;0.625;6;0.5
5;0.7;215;0.004651162790697674;8;12;3;7;5;0.625;5;0.4166666666666667
5;0.7;245;0.004081632653061225;8;12;1;8;7;0.875;4;0.3333333333333333
5;0.75;45;0.022222222222222223;8;12;1;6;7;0.875;6;0.5
5;0.75;65;0.015384615384615385;8;12;3;5;5;0.625;7;0.5833333333333334
5;0.75;75;0.013333333333333334;8;12;4;6;4;0.5;6;0.5
5;0.75;85;0.011764705882352941;8;12;2;8;6;0.75;4;0.3333333333333333
5;0.75;95;0.010526315789473684;8;12;6;4;2;0.25;8;0.6666666666666666
5;0.75;115;0.008695652173913044;8;12;3;7;5;0.625;5;0.4166666666666667
5;0.75;127.5;0.00784313725490196;8;12;2;5;6;0.75;7;0.5833333333333334
5;0.75;135;0.007407407407407408;8;12;2;8;6;0.75;4;0.3333333333333333
5;0.75;155;0.0064516129032258064;8;12;2;7;6;0.75;5;0.4166666666666667
5;0.75;175;0.005714285714285714;8;12;2;6;6;0.75;6;0.5
5;0.75;215;0.004651162790697674;8;12;0;7;8;1.0;5;0.4166666666666667
5;0.75;245;0.004081632653061225;8;12;1;7;7;0.875;5;0.4166666666666667
5;0.8;45;0.022222222222222223;8;12;1;4;7;0.875;8;0.6666666666666666
5;0.8;65;0.015384615384615385;8;12;4;5;4;0.5;7;0.5833333333333334
5;0.8;75;0.013333333333333334;8;12;4;4;4;0.5;8;0.6666666666666666
5;0.8;85;0.011764705882352941;8;12;2;6;6;0.75;6;0.5
5;0.8;95;0.010526315789473684;8;12;2;5;6;0.75;7;0.5833333333333334
5;0.8;115;0.008695652173913044;8;12;2;5;6;0.75;7;0.5833333333333334
5;0.8;127.5;0.00784313725490196;8;12;2;8;6;0.75;4;0.3333333333333333
5;0.8;135;0.007407407407407408;8;12;2;7;6;0.75;5;0.4166666666666667
5;0.8;155;0.0064516129032258064;8;12;1;6;7;0.875;6;0.5
5;0.8;175;0.005714285714285714;8;12;1;6;7;0.875;6;0.5
5;0.8;215;0.004651162790697674;8;12;0;7;8;1.0;5;0.4166666666666667
5;0.8;245;0.004081632653061225;8;12;0;6;8;1.0;6;0.5
5;0.85;45;0.022222222222222223;8;12;2;4;6;0.75;8;0.6666666666666666
5;0.85;65;0.015384615384615385;8;12;3;4;5;0.625;8;0.6666666666666666
5;0.85;75;0.013333333333333334;8;12;3;3;5;0.625;9;0.75
5;0.85;85;0.011764705882352941;8;12;2;7;6;0.75;5;0.4166666666666667
5;0.85;95;0.010526315789473684;8;12;1;6;7;0.875;6;0.5
5;0.85;115;0.008695652173913044;8;12;2;6;6;0.75;6;0.5
5;0.85;127.5;0.00784313725490196;8;12;1;6;7;0.875;6;0.5
5;0.85;135;0.007407407407407408;8;12;1;7;7;0.875;5;0.4166666666666667
5;0.85;155;0.0064516129032258064;8;12;1;6;7;0.875;6;0.5
5;0.85;175;0.005714285714285714;8;12;0;6;8;1.0;6;0.5
5;0.85;215;0.004651162790697674;8;12;0;6;8;1.0;6;0.5
5;0.85;245;0.004081632653061225;8;12;0;4;8;1.0;8;0.6666666666666666
5;0.9;45;0.022222222222222223;8;12;2;1;6;0.75;11;0.9166666666666666
5;0.9;65;0.015384615384615385;8;12;3;3;5;0.625;9;0.75
5;0.9;75;0.013333333333333334;8;12;3;4;5;0.625;8;0.6666666666666666
5;0.9;85;0.011764705882352941;8;12;2;5;6;0.75;7;0.5833333333333334
5;0.9;95;0.010526315789473684;8;12;1;6;7;0.875;6;0.5
5;0.9;115;0.008695652173913044;8;12;2;5;6;0.75;7;0.5833333333333334
5;0.9;127.5;0.00784313725490196;8;12;3;6;5;0.625;6;0.5
5;0.9;135;0.007407407407407408;8;12;2;6;6;0.75;6;0.5
5;0.9;155;0.0064516129032258064;8;12;1;7;7;0.875;5;0.4166666666666667
5;0.9;175;0.005714285714285714;8;12;1;7;7;0.875;5;0.4166666666666667
5;0.9;215;0.004651162790697674;8;12;1;3;7;0.875;9;0.75
5;0.9;245;0.004081632653061225;8;12;1;3;7;0.875;9;0.75
5;0.95;45;0.022222222222222223;8;12;1;2;7;0.875;10;0.8333333333333334
5;0.95;65;0.015384615384615385;8;12;1;3;7;0.875;9;0.75
5;0.95;75;0.013333333333333334;8;12;0;3;8;1.0;9;0.75
5;0.95;85;0.011764705882352941;8;12;1;3;7;0.875;9;0.75
